"country","continent","year","lifeExp","pop","gdpPercap"
"Albania","Europe",1952,55.23,1282697,1601.056136
"Albania","Europe",1957,59.28,1476505,1942.284244
"Albania","Europe",1962,64.82,1728137,2312.888958
"Albania","Europe",1967,66.22,1984060,2760.196931
"Albania","Europe",1972,67.69,2263554,3313.422188
"Albania","Europe",1977,68.93,2509048,3533.00391
"Albania","Europe",1982,70.42,2780097,3630.880722
"Albania","Europe",1987,72,3075321,3738.932735
"Albania","Europe",1992,71.581,3326498,2497.437901
"Albania","Europe",1997,72.95,3428038,3193.054604
"Albania","Europe",2002,75.651,3508512,4604.211737
"Albania","Europe",2007,76.423,3600523,5937.029526
"Argentina","Americas",1952,62.485,17876956,5911.315053
"Argentina","Americas",1957,64.399,19610538,6856.856212
"Argentina","Americas",1962,65.142,21283783,7133.166023
"Argentina","Americas",1967,65.634,22934225,8052.953021
"Argentina","Americas",1972,67.065,24779799,9443.038526
"Argentina","Americas",1977,68.481,26983828,10079.02674
"Argentina","Americas",1982,69.942,29341374,8997.897412
"Argentina","Americas",1987,70.774,31620918,9139.671389
"Argentina","Americas",1992,71.868,33958947,9308.41871
"Argentina","Americas",1997,73.275,36203463,10967.28195
"Argentina","Americas",2002,74.34,38331121,8797.640716
"Argentina","Americas",2007,75.32,40301927,12779.37964
"Austria","Europe",1952,66.8,6927772,6137.076492
"Austria","Europe",1957,67.48,6965860,8842.59803
"Austria","Europe",1962,69.54,7129864,10750.72111
"Austria","Europe",1967,70.14,7376998,12834.6024
"Austria","Europe",1972,70.63,7544201,16661.6256
"Austria","Europe",1977,72.17,7568430,19749.4223
"Austria","Europe",1982,73.18,7574613,21597.08362
"Austria","Europe",1987,74.94,7578903,23687.82607
"Austria","Europe",1992,76.04,7914969,27042.01868
"Austria","Europe",1997,77.51,8069876,29095.92066
"Austria","Europe",2002,78.98,8148312,32417.60769
"Austria","Europe",2007,79.829,8199783,36126.4927
"Belgium","Europe",1952,68,8730405,8343.105127
"Belgium","Europe",1957,69.24,8989111,9714.960623
"Belgium","Europe",1962,70.25,9218400,10991.20676
"Belgium","Europe",1967,70.94,9556500,13149.04119
"Belgium","Europe",1972,71.44,9709100,16672.14356
"Belgium","Europe",1977,72.8,9821800,19117.97448
"Belgium","Europe",1982,73.93,9856303,20979.84589
"Belgium","Europe",1987,75.35,9870200,22525.56308
"Belgium","Europe",1992,76.46,10045622,25575.57069
"Belgium","Europe",1997,77.53,10199787,27561.19663
"Belgium","Europe",2002,78.32,10311970,30485.88375
"Belgium","Europe",2007,79.441,10392226,33692.60508
"Bolivia","Americas",1952,40.414,2883315,2677.326347
"Bolivia","Americas",1957,41.89,3211738,2127.686326
"Bolivia","Americas",1962,43.428,3593918,2180.972546
"Bolivia","Americas",1967,45.032,4040665,2586.886053
"Bolivia","Americas",1972,46.714,4565872,2980.331339
"Bolivia","Americas",1977,50.023,5079716,3548.097832
"Bolivia","Americas",1982,53.859,5642224,3156.510452
"Bolivia","Americas",1987,57.251,6156369,2753.69149
"Bolivia","Americas",1992,59.957,6893451,2961.699694
"Bolivia","Americas",1997,62.05,7693188,3326.143191
"Bolivia","Americas",2002,63.883,8445134,3413.26269
"Bolivia","Americas",2007,65.554,9119152,3822.137084
"Bosnia and Herzegovina","Europe",1952,53.82,2791000,973.5331948
"Bosnia and Herzegovina","Europe",1957,58.45,3076000,1353.989176
"Bosnia and Herzegovina","Europe",1962,61.93,3349000,1709.683679
"Bosnia and Herzegovina","Europe",1967,64.79,3585000,2172.352423
